iterations,0,1,2,3,4,5
100000.0,0.001086049174619949,0.0018168102633849686,0.001839914901572065,0.003007416063624417,0.0023182185865365523,0.0028671762541518236
200000.0,1.0350436601018476e-05,1.731509984305435e-05,1.7456502096280246e-05,2.8577203107095495e-05,2.1911747534131276e-05,2.7116950653605087e-05
300000.0,9.887661243240808e-08,1.654093004094248e-07,1.6676212344357566e-07,2.7299822996651457e-07,2.0933475067957952e-07,2.5906286065663364e-07
400000.0,9.545451234993507e-10,1.5969679051375252e-09,1.619241130068616e-09,2.64701844471249e-09,4.872265798613193e-09,2.0408658925960008e-08
500000.0,1.91878388178246e-11,3.220927691227615e-11,1.7590783764701845e-10,9.753366842128267e-10,4.8722676023878155e-09,2.0408658893114052e-08
600000.0,1.0257565630222842e-11,2.4493860072937e-11,1.7591243012083125e-10,9.753365378763504e-10,4.872278841290552e-09,2.0408658922057502e-08
700000.0,1.0172002129493762e-11,2.4493598197023307e-11,1.759098494557884e-10,9.753368707647347e-10,4.872273443842202e-09,2.040865901875247e-08
800000.0,1.0137495010109632e-11,2.4494225355151046e-11,1.7590915572862633e-10,9.753369432825884e-10,4.872272847209093e-09,2.0408658938751476e-08
900000.0,1.0135677019906808e-11,2.449349890963219e-11,1.759091141049966e-10,9.753364678516366e-10,4.872266603374241e-09,2.0408659286072866e-08
1000000.0,1.0129862226815334e-11,2.4493725774817355e-11,1.7590891986139124e-10,9.753375622316842e-10,4.87226671437575e-09,2.040865925235971e-08
